,geoName,remote work,work from home,remote job,hybrid work
9,Argentina,36,37,23,4
12,Australia,19,72,5,4
13,Austria,33,18,46,3
17,Bangladesh,14,43,42,1
20,Belgium,34,30,31,5
29,Brazil,31,45,20,4
33,Bulgaria,35,35,25,5
38,Canada,24,58,14,4
48,Colombia,31,42,26,1
58,Czechia,36,26,33,5
60,Denmark,32,29,33,6
65,Egypt,23,54,19,4
75,Finland,50,24,17,9
76,France,32,27,38,3
83,Germany,28,17,52,3
84,Ghana,27,46,24,3
86,Greece,35,35,27,3
99,Hong Kong,23,57,14,6
102,India,5,89,5,1
103,Indonesia,20,38,40,2
106,Ireland,29,53,12,6
108,Israel,39,38,18,5
109,Italy,34,33,29,4
110,Jamaica,16,75,8,1
111,Japan,37,42,18,3
115,Kenya,29,49,19,3
132,Malaysia,18,62,15,5
141,Mexico,30,46,22,2
148,Morocco,26,38,34,2
154,Netherlands,38,35,22,5
156,New Zealand,24,63,7,6
159,Nigeria,24,40,32,4
165,Norway,43,35,16,6
167,Pakistan,15,55,28,2
174,Philippines,10,83,5,2
176,Poland,41,23,32,4
177,Portugal,43,22,32,3
180,Romania,16,17,65,2
181,Russia,31,49,12,8
186,Saudi Arabia,21,59,15,5
191,Singapore,21,62,11,6
197,South Africa,26,61,10,3
199,South Korea,31,51,9,9
201,Spain,39,28,30,3
202,Sri Lanka,11,77,10,2
213,Sweden,38,37,19,6
214,Switzerland,36,19,40,5
217,Taiwan,26,47,20,7
220,Thailand,17,66,13,4
230,Türkiye,36,32,28,4
234,Ukraine,34,37,24,5
235,United Arab Emirates,22,63,12,3
236,United Kingdom,22,60,13,5
237,United States,24,59,15,2
243,Vietnam,19,48,29,4
